sentence_number	batch_bertscore	prompt_bertscore	temp_bertscore	bertscore_f1	batch_chrf	prompt_chrf	temp_chrf	CHRF	batch_comet	prompt_comet	temp_comet	COMET
241	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
242	1.0	prompt0	0.75	0.959724485874176	1.0	prompt0	0.75	82.0915612925258	4.0	prompt4	0.75	0.9062096476554872
243	1.0	prompt4	0.75	0.9563544392585754	1.0	prompt3	0.75	88.0236012603548	5.0	prompt3	0.6	0.9761742353439332
244	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9866815805435181
245	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9891265630722046
246	1.0	prompt3	0.15	0.7587573528289795	1.0	prompt3	0.15	62.06647041588435	1.0	prompt3	0.15	0.8396087884902954
247	1.0	prompt3	0.15	0.9999998807907104	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9898729920387268
248	1.0	prompt3	0.15	0.9999998807907104	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.990500032901764
249	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
250	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
251	1.0	prompt3	0.15	0.768123209476471	1.0	prompt3	0.15	16.823511214503945	1.0	prompt3	0.15	0.8660023212432861
252	1.0	prompt4	0.6	0.7189471125602722	1.0	prompt4	0.6	33.10640040184894	1.0	prompt2	0.6	0.6413902640342712
253	1.0	prompt2	0.75	0.9010475277900696	5.0	prompt0	0.3	57.30919574682871	1.0	prompt2	0.75	0.8967121243476868
254	1.0	prompt2	0.75	0.896357536315918	5.0	prompt0	0.3	58.09134420327767	1.0	prompt2	0.75	0.8894518613815308
255	5.0	prompt0	0.75	0.7814366817474365	5.0	prompt0	0.75	29.120811515220478	5.0	prompt0	0.75	0.7878585457801819
256	3.0	prompt2	0.45	0.7300776243209839	2.0	prompt4	0.75	47.33920118578719	4.0	prompt4	0.75	0.6958296895027161
257	3.0	prompt2	0.45	0.7120449542999268	2.0	prompt4	0.75	40.65100007818743	5.0	prompt2	0.75	0.6022650599479675
258	1.0	prompt0	0.75	0.9373379349708556	1.0	prompt0	0.75	76.57983892338106	5.0	prompt3	0.45	0.932598114013672
259	1.0	prompt3	0.15	0.8937259912490845	1.0	prompt3	0.15	68.07669366425702	1.0	prompt3	0.15	0.8293523788452148
260	2.0	prompt0	0.6	0.7849053740501404	2.0	prompt0	0.6	52.56606858188497	1.0	prompt3	0.6	0.6109609007835388
261	1.0	prompt2	0.45	0.8006331324577332	1.0	prompt3	0.15	52.56606858188497	1.0	prompt2	0.45	0.837174117565155
262	4.0	prompt3	0.75	0.8162697553634644	4.0	prompt3	0.75	48.26239677103357	4.0	prompt3	0.75	0.6786462664604187
263	1.0	prompt3	0.15	0.7653656005859375	5.0	prompt1	0.6	55.333814267368645	5.0	prompt1	0.6	0.7881879806518555
264	1.0	prompt3	0.15	0.7344398498535156	1.0	prompt3	0.15	7.849293563579278	1.0	prompt3	0.15	0.7138785123825073
265	1.0	prompt3	0.75	0.8472175002098083	1.0	prompt3	0.75	59.116867230618695	1.0	prompt3	0.75	0.9296289086341858
266	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
267	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
