sentence_number	prompt_temp	prompt	temperature	bertscore_f1	bertscore_f1	CHRF_normalized	CHRF_normalized	COMET	COMET
				mean	var	mean	var	mean	var
0	prompt0_0.0	prompt0	0.0	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt1_0.0	prompt1	0.0	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt2_0.0	prompt2	0.0	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt3_0.0	prompt3	0.0	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt4_0.0	prompt4	0.0	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt0_0.15	prompt0	0.15	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt1_0.15	prompt1	0.15	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt2_0.15	prompt2	0.15	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt3_0.15	prompt3	0.15	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt4_0.15	prompt4	0.15	0.8059626579284668	9.294508049606543e-06	0.46473386377847203	0.0004669211314112941	0.9114335656166077	2.7473431214275177e-05
0	prompt0_0.3	prompt0	0.3	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt1_0.3	prompt1	0.3	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt2_0.3	prompt2	0.3	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt3_0.3	prompt3	0.3	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt4_0.3	prompt4	0.3	0.8070758819580078	9.294508049606543e-06	0.4726241204824609	0.0004669211314112947	0.9133474946022033	2.7473431214274777e-05
0	prompt0_0.45	prompt0	0.45	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt1_0.45	prompt1	0.45	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt2_0.45	prompt2	0.45	0.8048494338989258	6.1963386997376185e-06	0.45684360707448335	0.0003112807542741963	0.909519636631012	1.8315620809516455e-05
0	prompt3_0.45	prompt3	0.45	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt4_0.45	prompt4	0.45	0.8048494338989258	6.1963386997376956e-06	0.45684360707448335	0.0003112807542741968	0.909519636631012	1.8315620809516658e-05
0	prompt0_0.6	prompt0	0.6	0.806537389755249	7.74706501260882e-06	0.4642878934307251	0.00048550968179709905	0.910462749004364	4.147622595667123e-05
0	prompt1_0.6	prompt1	0.6	0.8048494338989258	6.1963386997376956e-06	0.45684360707448335	0.00031128075427419637	0.909519636631012	1.831562080951648e-05
0	prompt2_0.6	prompt2	0.6	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt3_0.6	prompt3	0.6	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt4_0.6	prompt4	0.6	0.8304184317588806	0.003203904539439145	0.5328243813781144	0.02767790153861213	0.9156704545021057	0.00017804785170483093
0	prompt0_0.75	prompt0	0.75	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt1_0.75	prompt1	0.75	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt2_0.75	prompt2	0.75	0.8037362098693848	0.0	0.4489533503704946	0.0	0.9076057076454163	3.0814879110195774e-33
0	prompt3_0.75	prompt3	0.75	0.8048389673233032	6.080370010863574e-06	0.4517089847140964	3.796760317818859e-05	0.9072592854499817	6.000416874486223e-07
0	prompt4_0.75	prompt4	0.75	0.8059626579284668	9.294508049606504e-06	0.46473386377847203	0.0004669211314112944	0.9114335656166077	2.747343121427485e-05
1	prompt0_0.0	prompt0	0.0	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt1_0.0	prompt1	0.0	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt2_0.0	prompt2	0.0	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt3_0.0	prompt3	0.0	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt4_0.0	prompt4	0.0	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt0_0.15	prompt0	0.15	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt1_0.15	prompt1	0.15	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt2_0.15	prompt2	0.15	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt3_0.15	prompt3	0.15	0.9806898832321169	0.0	0.8679387547974577	0.0	0.928398072719574	0.0
1	prompt4_0.15	prompt4	0.15	0.9822649478912353	4.651553775758055e-06	0.8958925369938123	0.0014651511357773044	0.9293813347816468	1.8127580300843673e-06
